record_type,id,experiment_id,experiment_name,dataset,optimizer,learning_rate,batch_size,total_epochs,status,layer_type,units,kernel_size,activation,input_shape,output_shape,params,epoch_num,train_loss,train_acc,val_loss,val_acc,duration_sec,layer_id,sample_weights_row1,sample_weights_row2,gradients_row1,gradients_row2,mean,std
experiment,exp-001,,ResNet18-CIFAR10,cifar10,Adam,0.001,128,100,completed,,,,,,,,,,,,,,,,,,,
experiment,exp-002,,VGG16-ImageNet,imagenet,SGD,0.01,256,90,completed,,,,,,,,,,,,,,,,,,,
experiment,exp-003,,MobileNetV2-CIFAR100,cifar100,AdamW,0.0003,64,150,running,,,,,,,,,,,,,,,,,,,
experiment,exp-004,,BERT-Base-SQuAD,squad,Adam,0.00003,32,3,completed,,,,,,,,,,,,,,,,,,,
experiment,exp-005,,GPT2-WikiText,wikitext,Adam,0.0001,16,50,completed,,,,,,,,,,,,,,,,,,,
experiment,exp-006,,EfficientNetB0-Flowers,flowers102,AdamW,0.0002,32,80,stopped,,,,,,,,,,,,,,,,,,,
layer,l-001,exp-001,,,,,,,,,Conv2D,64,"3;3",ReLU,"32;32;3","32;32;64",1792,,,,,,,,,,,,
layer,l-002,exp-001,,,,,,,,,BatchNorm,64,,,"32;32;64","32;32;64",256,,,,,,,,,,,,
layer,l-003,exp-001,,,,,,,,,Conv2D,64,"3;3",ReLU,"32;32;64","32;32;64",36928,,,,,,,,,,,,
layer,l-004,exp-001,,,,,,,,,BatchNorm,64,,,"32;32;64","32;32;64",256,,,,,,,,,,,,
layer,l-005,exp-001,,,,,,,,,MaxPool2D,,"2;2",,"32;32;64","16;16;64",0,,,,,,,,,,,,
layer,l-006,exp-001,,,,,,,,,Conv2D,128,"3;3",ReLU,"16;16;64","16;16;128",73856,,,,,,,,,,,,
layer,l-007,exp-001,,,,,,,,,BatchNorm,128,,,"16;16;128","16;16;128",512,,,,,,,,,,,,
layer,l-008,exp-001,,,,,,,,,Conv2D,128,"3;3",ReLU,"16;16;128","16;16;128",147584,,,,,,,,,,,,
layer,l-009,exp-001,,,,,,,,,BatchNorm,128,,,"16;16;128","16;16;128",512,,,,,,,,,,,,
layer,l-010,exp-001,,,,,,,,,MaxPool2D,,"2;2",,"16;16;128","8;8;128",0,,,,,,,,,,,,
layer,l-011,exp-001,,,,,,,,,Conv2D,256,"3;3",ReLU,"8;8;128","8;8;256",295168,,,,,,,,,,,,
layer,l-012,exp-001,,,,,,,,,BatchNorm,256,,,"8;8;256","8;8;256",1024,,,,,,,,,,,,
