record_type,id,name,city,conference,wins,losses,ppg,oppg,home_record,away_record,team,team_id,position,age,games,mpg,pts,reb,ast,stl,blk,fg_pct,three_pct,ft_pct,plus_minus,date,opponent,result,score,opp_score,quarter_scores,fg_made,fg_att,three_made,three_att,ft_made,ft_att,rebounds,assists,steals,blocks,turnovers,last_5_ppg,last_10_ppg,monthly_ppg,home_ppg,away_ppg
Team,bos,Boston Celtics,Boston,Eastern,64,18,120.6,109.2,37|4,27|14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,okc,Oklahoma City Thunder,Oklahoma City,Western,57,25,120.1,110.2,32|9,25|16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,den,Denver Nuggets,Denver,Western,57,25,115.8,110.5,33|8,24|17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,min,Minnesota Timberwolves,Minneapolis,Western,56,26,112.5,106.8,31|10,25|16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,pt-001,Jayson Tatum,,,,,,,,,bos,,Small Forward,26,74,35.7,26.9,8.1,4.9,1.0,0.6,47.1,37.6,83.1,10.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-002,Jaylen Brown,,,,,,,,,bos,,Shooting Guard,27,70,33.7,23.0,5.5,3.6,1.2,0.5,49.9,35.4,70.3,9.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-003,Derrick White,,,,,,,,,bos,,Point Guard,29,73,32.4,15.2,4.2,5.2,1.0,1.2,46.1,39.6,89.9,11.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-004,Jrue Holiday,,,,,,,,,bos,,Point Guard,33,69,32.8,12.5,5.4,4.8,0.9,0.8,48.0,42.9,84.4,10.1,,,,,,,,,,,,,,,,,,,,,,
Player,pt-005,Kristaps Porzingis,,,,,,,,,bos,,Center,28,57,29.6,20.1,7.2,1.9,0.7,1.9,51.6,37.5,85.8,12.3,,,,,,,,,,,,,,,,,,,,,,
Player,pt-006,Al Horford,,,,,,,,,bos,,Center,37,65,26.9,8.6,6.4,2.6,0.6,1.2,47.8,36.3,72.4,9.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-007,Payton Pritchard,,,,,,,,,bos,,Point Guard,26,71,14.3,6.4,1.6,1.6,0.3,0.2,43.3,38.2,90.6,4.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-008,Sam Hauser,,,,,,,,,bos,,Small Forward,26,72,20.5,5.5,3.1,1.1,0.5,0.3,46.6,42.4,85.0,8.1,,,,,,,,,,,,,,,,,,,,,,
Player,pt-009,Oshae Brissett,,,,,,,,,bos,,Power Forward,25,46,13.5,3.1,2.4,0.6,0.3,0.3,41.7,33.3,66.7,3.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-010,Luke Kornet,,,,,,,,,bos,,Center,28,57,11.2,3.4,2.9,0.8,0.2,1.0,57.0,44.4,85.7,4.5,,,,,,,,,,,,,,,,,,,,,,
Player,pt-011,Neemias Queta,,,,,,,,,bos,,Center,24,44,9.8,3.2,2.8,0.4,0.2,0.6,60.3,0.0,61.5,2.1,,,,,,,,,,,,,,,,,,,,,,
Player,pt-012,Xavier Tillman,,,,,,,,,bos,,Power Forward,25,35,8.4,2.6,1.8,0.5,0.2,0.3,51.9,35.7,80.0,1.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-013,Lamar Stevens,,,,,,,,,bos,,Small Forward,26,28,6.1,1.5,1.2,0.3,0.2,0.1,45.5,20.0,50.0,0.9,,,,,,,,,,,,,,,,,,,,,,
Player,pt-014,Shai Gilgeous-Alexander,,,,,,,,,okc,,Point Guard,25,75,34.0,30.1,5.5,6.2,2.0,0.9,53.5,35.3,87.4,9.8,,,,,,,,,,,,,,,,,,,,,,
Player,pt-015,Chet Holmgren,,,,,,,,,okc,,Center,21,82,30.8,16.5,7.9,2.4,0.8,2.3,53.0,37.0,79.4,8.4,,,,,,,,,,,,,,,,,,,,,,
Player,pt-016,Jalen Williams,,,,,,,,,okc,,Small Forward,23,71,31.3,19.1,4.5,4.5,1.1,0.6,54.0,42.3,78.8,7.6,,,,,,,,,,,,,,,,,,,,,,
Player,pt-017,Lu Dort,,,,,,,,,okc,,Shooting Guard,25,79,29.8,10.4,4.1,1.5,1.6,0.4,42.5,35.0,80.0,5.2,,,,,,,,,,,,,,,,,,,,,,
Player,pt-018,Josh Giddey,,,,,,,,,okc,,Point Guard,21,80,26.3,12.3,6.4,4.8,0.7,0.4,47.5,33.7,71.4,3.8,,,,,,,,,,,,,,,,,,,,,,
